_id,month,street,direction,from_intersection,to_intersection,day_type,time_period,baseline_travel_time,average_travel_time
185,Dec '17,Jarvis,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),5.3,5.2
186,Dec '17,Jarvis,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),4.8,4.6
187,Dec '17,Jarvis,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),4.5,4.5
188,Dec '17,Jarvis,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),4.3,4.5
189,Dec '17,Jarvis,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),3.8,3.6
190,Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,AM Peak (07:00-10:00),11.3,12.0
191,Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,Evening (19:00-23:00),11.6,13.1
192,Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,Midday (10:00-16:00),14.0,15.9
193,Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,PM Peak (16:00-19:00),16.4,18.4
194,Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekend,Afternoon (12:00-17:00),14.5,14.2
195,Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekend,Evening (17:00-23:00),13.1,14.3
196,Dec '17,Queen,Eastbound,Bathurst,Jarvis,Weekend,Morning (08:00-12:00),9.5,9.2
197,Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekday,AM Peak (07:00-10:00),10.5,10.5
198,Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekday,Evening (19:00-23:00),11.7,12.1
199,Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekday,Midday (10:00-16:00),12.5,14.4
200,Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekday,PM Peak (16:00-19:00),15.3,15.8
201,Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekend,Afternoon (12:00-17:00),13.6,13.5
202,Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekend,Evening (17:00-23:00),12.6,13.7
203,Dec '17,Queen,Westbound,Jarvis,Bathurst,Weekend,Morning (08:00-12:00),8.6,8.9
204,Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekday,AM Peak (07:00-10:00),8.8,8.2
205,Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekday,Evening (19:00-23:00),8.1,8.6
206,Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekday,Midday (10:00-16:00),11.4,11.7
207,Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekday,PM Peak (16:00-19:00),14.5,14.0
208,Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekend,Afternoon (12:00-17:00),8.2,8.8
209,Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekend,Evening (17:00-23:00),8.2,9.4
210,Dec '17,Richmond,Westbound,Jarvis,Bathurst,Weekend,Morning (08:00-12:00),6.3,6.5
211,Dec '17,Spadina,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),5.4,5.4
212,Dec '17,Spadina,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),6.8,6.1
213,Dec '17,Spadina,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),7.2,7.1
214,Feb '18,Yonge,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),4.9,4.9
215,Dec '17,Spadina,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),12.1,9.2
216,Dec '17,Spadina,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),6.9,6.5
217,Dec '17,Spadina,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),6.7,5.8
218,Dec '17,Spadina,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),5.1,5.1
219,Dec '17,Spadina,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),5.8,5.4
220,Dec '17,Spadina,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),6.5,6.3
221,Dec '17,Spadina,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),7.1,7.7
222,Dec '17,Spadina,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),7.8,8.0
223,Dec '17,Spadina,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),8.1,7.1
224,Dec '17,Spadina,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),6.9,6.3
225,Dec '17,Spadina,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),5.9,5.0
226,Dec '17,University,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),3.0,3.3
